ID,Repository Link,Remote Configuration File Link,Local Configuration File Link,Project,Category,Sub-Category,Stage,Entity,Message,Line-Number,Configuration File Name,Owner,Repository Name
cmc_system__cmc__Job-Allow-Failure__deploy,https://gitlab.com/cmc_system/cmc,https://gitlab.com/cmc_system/cmc/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/cmc_system__cmc/.gitlab-ci.yml,cmc_system__cmc,Job-Allow-Failure,,deploy,deploy,Allows failure of job `deploy` at stage `deploy`,102,.gitlab-ci.yml,cmc_system,cmc_system/cmc
sbarthelemy__conan-public-recipes__Manual-Job__package-toolchain-ubuntu-16-04,https://gitlab.com/sbarthelemy/conan-public-recipes,https://gitlab.com/sbarthelemy/conan-public-recipes/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/sbarthelemy__conan-public-recipes/.gitlab-ci.yml,sbarthelemy__conan-public-recipes,Manual-Job,,build,package-toolchain:ubuntu-16.04,Manual job `package-toolchain:ubuntu-16.04` at stage `build`,187,.gitlab-ci.yml,sbarthelemy,sbarthelemy/conan-public-recipes
Radiophonix__Radiophonix__Job-Allow-Failure__pages,https://gitlab.com/Radiophonix/Radiophonix,https://gitlab.com/Radiophonix/Radiophonix/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/Radiophonix__Radiophonix/.gitlab-ci.yml,Radiophonix__Radiophonix,Job-Allow-Failure,,deploy,pages,Allows failure of job `pages` at stage `deploy`,67,.gitlab-ci.yml,Radiophonix,Radiophonix/Radiophonix
Radiophonix__Radiophonix__Job-Allow-Failure__test-composer-outdated,https://gitlab.com/Radiophonix/Radiophonix,https://gitlab.com/Radiophonix/Radiophonix/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/Radiophonix__Radiophonix/.gitlab-ci.yml,Radiophonix__Radiophonix,Job-Allow-Failure,,test,test:composer-outdated,Allows failure of job `test:composer-outdated` at stage `test`,57,.gitlab-ci.yml,Radiophonix,Radiophonix/Radiophonix
Radiophonix__Radiophonix__Job-Allow-Failure__deploy-review,https://gitlab.com/Radiophonix/Radiophonix,https://gitlab.com/Radiophonix/Radiophonix/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/Radiophonix__Radiophonix/.gitlab-ci.yml,Radiophonix__Radiophonix,Job-Allow-Failure,,deploy,deploy:review,Allows failure of job `deploy:review` at stage `deploy`,117,.gitlab-ci.yml,Radiophonix,Radiophonix/Radiophonix
trustable__distros__minimal-distro__Versioning__gitlabyaml__pyyaml__missing,https://gitlab.com/trustable/distros/minimal-distro,https://gitlab.com/trustable/distros/minimal-distro/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/trustable__distros__minimal-distro/.gitlab-ci.yml,trustable__distros__minimal-distro,Versioning,missing,,pyyaml,version specifier is missing,292,.gitlab-ci.yml,trustable,trustable/distros/minimal-distro
masakura__issues__Job-Allow-Failure__chrome-branches,https://gitlab.com/masakura/issues,https://gitlab.com/masakura/issues/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/masakura__issues/.gitlab-ci.yml,masakura__issues,Job-Allow-Failure,,test,chrome:branches,Allows failure of job `chrome:branches` at stage `test`,124,.gitlab-ci.yml,masakura,masakura/issues
masakura__issues__Job-Allow-Failure__firefox-branches,https://gitlab.com/masakura/issues,https://gitlab.com/masakura/issues/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/masakura__issues/.gitlab-ci.yml,masakura__issues,Job-Allow-Failure,,test,firefox:branches,Allows failure of job `firefox:branches` at stage `test`,124,.gitlab-ci.yml,masakura,masakura/issues
jankubierecki__UEKPartnership__Versioning__requirementstxt__gunicorn__missing,https://gitlab.com/jankubierecki/UEKPartnership,https://gitlab.com/jankubierecki/UEKPartnership/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/jankubierecki__UEKPartnership/requirements.txt,jankubierecki__UEKPartnership,Versioning,missing,,gunicorn,version specifier is missing,4,requirements.txt,jankubierecki,jankubierecki/UEKPartnership
jankubierecki__UEKPartnership__Versioning__requirementstxt__django-admin-list-filter-dropdown__missing,https://gitlab.com/jankubierecki/UEKPartnership,https://gitlab.com/jankubierecki/UEKPartnership/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/jankubierecki__UEKPartnership/requirements.txt,jankubierecki__UEKPartnership,Versioning,missing,,django-admin-list-filter-dropdown,version specifier is missing,5,requirements.txt,jankubierecki,jankubierecki/UEKPartnership
