project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage,yml_size
ModioAB/base-image,ModioAB,Python,true,false,false,3,true,false,true,false,227
swe-nrb/sbp-begreppslista,swe-nrb,JavaScript,true,false,false,3,true,false,true,false,40
redmic-project/client/web,redmic-project,JavaScript,true,false,false,5,true,true,false,false,146
assembl/assembl,assembl,JavaScript,true,false,false,4,true,true,false,false,69
geometalab/osmybiz,geometalab,JavaScript,true,false,false,4,true,true,true,false,107
foci-open-source/Foci.OrbitalBus,foci-open-source,C#,true,false,false,6,true,true,true,true,438
cloudigrade/frontigrade,cloudigrade,JavaScript,true,false,false,5,true,true,true,true,274
cmc_system/cmc,cmc_system,JavaScript,true,false,false,4,true,true,true,false,161
PPL2018csui/Kelas-A/Kel-5,PPL2018csui,JavaScript,true,false,false,3,true,true,true,false,43
sbarthelemy/conan-public-recipes,sbarthelemy,Python,true,false,false,6,true,true,false,false,280
pleio/pleio,pleio,PHP,true,false,false,3,true,true,true,false,106
Radiophonix/Radiophonix,Radiophonix,PHP,true,false,false,4,true,true,true,true,330
mergetb/engine,mergetb,Go,true,false,false,4,true,true,true,false,87
arturlwwwmods/ArtUrlWWW_MegaMod,arturlwwwmods,Python,true,false,false,1,true,false,false,false,60
akeinhell/redfoxbot,akeinhell,PHP,true,false,false,3,true,true,true,false,120
trustable/distros/minimal-distro,trustable,Python,true,false,false,4,true,true,true,false,298
PPL2017csui/PPLB5,PPL2017csui,JavaScript,true,false,false,3,true,true,true,false,65
corunahacks/2018/aloha/aloha-front,corunahacks,JavaScript,true,false,false,4,true,true,true,true,59
PPL2018csui/Kelas-A/Kel-1,PPL2018csui,JavaScript,true,false,false,4,true,true,true,false,85
masakura/issues,masakura,C#,true,false,false,3,true,true,true,false,199
jankubierecki/UEKPartnership,jankubierecki,Python,true,true,false,3,true,true,false,false,42
kimlab/kmbio,kimlab,Python,true,false,false,4,true,true,true,false,193
kimlab/pagnn,kimlab,Python,true,false,false,5,true,true,true,false,199
monetha/ico-rating-web,monetha,JavaScript,true,false,false,2,false,false,false,false,33
hendisantika/siap-diskanlut,hendisantika,JavaScript,true,false,true,2,true,false,true,false,44
mergetb/site,mergetb,Python,true,false,false,1,true,false,false,false,30
hotfury/Multitask,hotfury,C#,true,false,false,3,true,false,true,false,64
openrail/uk/common-nodejs,openrail,JavaScript,true,false,false,3,true,true,true,false,250
