id,category,reviewTag*,linkToRepository,fixed (y/n/m),comment-labels (sorter2),comment-labels (sorter1),comment-labels (agreed),reaction (sorter2),reaction (sorter1),reaction (agreed),resolution-time (ms)
mauriciobaeza__empresa-libre__Versioning__requirementstxt__falcon__missing,Versioning,missing,https://gitlab.com/mauriciobaeza/empresa-libre,,,,,,,,
deltares__rtc-tools__Versioning__gitlabyaml__codecov__missing,Versioning,missing,https://gitlab.com/deltares/rtc-tools,n,,,,,,,
flatiron-dc__learning-git2__Job-Retry__s3-branch-deployment,Job-Retry,always,https://gitlab.com/flatiron-dc/learning-git2,,,,,,,,
indybay__indybay-active__Manual-Job__build,Manual-Job,NULL,https://gitlab.com/indybay/indybay-active,n,,,,,,,
harbottle__puppet-mattermost__Manual-Job__push,Manual-Job,NULL,https://gitlab.com/harbottle/puppet-mattermost,n,,,,,,,
agrumery__aGrUM__Job-Retry__windows_agrum_2017,Job-Retry,always,https://gitlab.com/agrumery/aGrUM,y,fixed-independently,,fixed-independently,positive,positive,positive,9993338524
sofreeus__aghi2gitlab__Manual-Job__dev,Manual-Job,NULL,https://gitlab.com/sofreeus/aghi2gitlab,,,,,,,,
georgedorn__wonambi__Versioning__gitlabyaml__coverage__missing,Versioning,missing,https://gitlab.com/georgedorn/wonambi,,,,,,,,
fluidattacks__asserts__Job-Retry__test,Job-Retry,always,https://gitlab.com/fluidattacks/asserts,y,flaky-tool,"use-in-paper, remove-all","use-in-paper, remove-all, flaky-tool",positive,positive,positive,40597408
vuedoc__parser__Job-Allow-Failure__security-scan,Job-Allow-Failure,NULL,https://gitlab.com/vuedoc/parser,,,,,,,,
postmarketOS__build-postmarketos-org__Manual-Job__test-phpcs,Manual-Job,NULL,https://gitlab.com/postmarketOS/build.postmarketos.org,y,dead-branch,,dead-branch,not-now,positive,not-now,4412981296
coala__package_manager__Versioning__requirementstxt__hg-https---bitbucket-org-jayvdb-sarge-win-reg-lookup-egg-sarge__missing,Versioning,missing,https://gitlab.com/coala/package_manager,,,,,,,,
